hour_of_year,insolation,temperature,wind,rainfall
291,0,-8.749,,
292,0,-8.785,,
293,0,-8.864,,
294,322,-8.035,,
295,598,-4.722,,
296,831,-2.085,,
297,993,-0.519,,
298,1075,0.518,,
299,1060,0.853,,
300,970,0.592,,
301,754,-0.109,,
302,518,-1.136,,
303,223,-2.966,,
304,4,-5.452,,
305,0,-6.078,,
306,0,-6.836,,
307,0,-7.566,,
308,0,-7.968,,
309,0,-8.277,,
310,0,-8.648,,
311,0,-8.829,,
312,0,-8.97,,
313,0,-9.398,,
314,0,-10.294,,
315,0,-11.668,,
316,0,-12.765,,
317,0,-13.687,,
318,364,-12.26,,
319,650,-7.731,,
320,889,-4.137,,
321,1056,-1.089,,
322,1138,0.797,,
323,1123,1.742,,
324,1029,2.032,,
325,856,1.775,,
326,592,0.896,,
327,285,-1.095,,
328,11,-3.918,,
329,0,-4.958,,
330,0,-5.783,,
331,0,-6.463,,
332,0,-6.66,,
333,0,-6.631,,
334,0,-6.589,,
335,0,-6.43,,
336,0,-6.264,,
337,0,-6.277,,
338,0,-6.735,,
339,0,-7.072,,
340,0,-7.355,,
341,0,-7.446,,
342,298,-6.718,,
343,580,-3.387,,
344,815,0.544,,
345,980,3.289,,
346,1021,4.588,,
347,921,5.03,,
348,752,4.773,,
349,680,4.127,,
350,505,2.952,,
351,177,0.501,,
352,6,-2.401,,
353,0,-3.595,,
354,0,-3.999,,
355,0,-4.184,,
356,0,-4.611,,
357,0,-4.88,,
358,0,-4.909,,
359,0,-5.069,,
360,0,-5.382,,
361,0,-5.576,,
362,0,-5.753,,
363,0,-6.004,,
364,0,-6.239,,
365,0,-6.473,,
366,228,-5.718,,
367,504,-2.755,,
368,730,0.013,,
369,866,1.636,,
370,894,2.328,,
371,806,2.336,,
372,679,1.968,,
373,588,1.36,,
374,465,0.417,,
375,236,-1.324,,
376,6,-3.887,,
377,0,-4.401,,
378,0,-5.203,,
379,0,-6.099,,
380,0,-6.692,,
381,0,-6.994,,
382,0,-7.142,,
383,0,-7.322,,
384,0,-7.484,,
385,0,-7.81,,
386,0,-8.282,,
387,0,-8.714,,
388,0,-9.127,,
389,0,-9.594,,
390,291,-8.865,,
391,580,-5.408,,
392,818,-2.014,,
393,982,-0.034,,
394,1060,1.228,,
395,1051,1.903,,
396,943,1.88,,
397,708,1.172,,
398,419,-0.038,,
399,139,-1.704,,
400,4,-4.015,,
401,0,-4.717,,
402,0,-5.123,,
403,0,-5.621,,
404,0,-6.046,,
405,0,-6.392,,
406,0,-6.639,,
407,0,-6.735,,
408,0,-6.918,,
409,0,-7.237,,
410,0,-7.67,,
411,0,-8.202,,
412,0,-8.605,,
413,0,-8.934,,
414,284,-7.969,,
415,565,-4.384,,
416,813,-0.763,,
417,964,1.853,,
418,1035,2.975,,
419,1018,3.378,,
420,868,3.071,,
421,612,2.145,,
422,280,0.744,,
423,60,-1.056,,
424,1,-2.805,,
425,0,-3.72,,
426,0,-4.092,,
427,0,-4.363,,
428,0,-4.789,,
429,0,-5.29,,
430,0,-5.805,,
431,0,-6.333,,
432,0,-6.82,,
433,0,-7.101,,
434,0,-7.327,,
435,0,-7.686,,
436,0,-8.191,,
437,0,-8.516,,
438,284,-7.366,,
439,559,-3.375,,
440,792,0.394,,
441,959,3.002,,
442,1046,4.259,,
443,1063,4.917,,
444,972,4.993,,
445,795,4.503,,
446,555,3.296,,
447,248,1.081,,
448,9,-2.287,,
449,0,-3.083,,
450,0,-3.609,,
451,0,-4.081,,
452,0,-4.373,,
453,0,-4.437,,
454,0,-4.423,,
455,0,-4.565,,
456,0,-4.832,,
457,0,-5.131,,
458,0,-5.377,,
459,0,-5.586,,
460,0,-5.739,,
461,0,-5.869,,
462,274,-5.087,,
463,551,-2.223,,
464,798,0.773,,
465,963,2.949,,
466,1046,4.194,,
467,1032,4.534,,
468,903,4.105,,
469,623,3.133,,
470,335,1.889,,
471,140,0.155,,
472,5,-2.262,,
473,0,-3.289,,
474,0,-3.985,,
475,0,-4.532,,
476,0,-4.51,,
477,0,-4.647,,
478,0,-5.182,,
479,0,-5.632,,
480,0,-5.979,,
481,0,-6.361,,
482,0,-6.761,,
483,0,-7.227,,
484,0,-7.482,,
485,17,-7.704,,
486,286,-6.662,,
487,504,-2.994,,
488,693,0.198,,
489,818,2.027,,
490,866,2.995,,
491,802,3.132,,
492,642,2.664,,
493,533,1.986,,
494,406,1.145,,
495,172,-0.37,,
496,6,-2.881,,
497,0,-3.885,,
498,0,-4.371,,
499,0,-4.465,,
500,0,-4.581,,
501,0,-4.925,,
502,0,-5.218,,
503,0,-5.376,,
504,0,-5.545,,
505,0,-5.81,,
506,0,-5.982,,
507,0,-6.208,,
508,0,-6.383,,
509,6,-6.481,,
510,194,-5.574,,
511,448,-2.558,,
512,682,-0.091,,
513,784,1.257,,
514,798,1.823,,
515,769,1.899,,
516,725,1.672,,
517,580,1.047,,
518,339,-0.017,,
519,88,-1.588,,
520,3,-3.585,,
521,0,-4.211,,
522,0,-5.028,,
523,0,-5.839,,
524,0,-6.443,,
525,0,-7.039,,
526,0,-7.544,,
527,0,-7.801,,
528,0,-7.882,,
529,0,-7.864,,
530,0,-8.124,,
531,0,-8.421,,
532,0,-8.623,,
533,9,-8.82,,
534,330,-7.718,,
535,609,-3.788,,
536,841,-0.563,,
537,1003,1.491,,
538,1084,2.705,,
539,1085,3.072,,
540,974,2.74,,
541,760,1.966,,
542,505,0.816,,
543,210,-0.829,,
544,8,-3.28,,
545,0,-4.1,,
546,0,-4.581,,
547,0,-5.214,,
548,0,-5.719,,
549,0,-6.092,,
550,0,-6.223,,
551,0,-6.245,,
552,0,-6.352,,
553,0,-6.594,,
554,0,-6.76,,
555,0,-6.959,,
556,0,-7.229,,
557,3,-7.638,,
558,190,-6.739,,
559,451,-3.379,,
560,632,-0.859,,
561,696,0.711,,
562,642,1.401,,
563,604,1.6,,
564,594,1.55,,
565,506,1.069,,
566,260,0.007,,
567,79,-1.445,,
568,6,-3.394,,
569,0,-4.061,,
570,0,-4.581,,
571,0,-5.029,,
572,0,-5.337,,
573,0,-6.046,,
574,0,-6.611,,
575,0,-6.972,,
576,0,-6.864,,
577,0,-6.59,,
578,0,-6.518,,
579,0,-6.645,,
580,0,-6.893,,
581,1,-7.025,,
582,65,-5.785,,
583,254,-3.051,,
584,542,-1.148,,
585,761,0.363,,
586,640,0.964,,
587,378,0.739,,
588,305,0.532,,
589,236,0.206,,
590,156,-0.463,,
591,39,-1.718,,
592,2,-3.375,,
593,0,-3.895,,
594,0,-4.769,,
595,0,-5.883,,
596,0,-6.662,,
597,0,-7.077,,
598,0,-7.289,,
599,0,-7.295,,
600,0,-7.408,,
601,0,-7.65,,
602,0,-7.946,,
603,0,-8.197,,
604,0,-8.362,,
605,3,-8.439,,
606,203,-7.049,,
607,455,-3.567,,
608,725,-1.64,,
609,856,-0.343,,
610,1031,0.779,,
611,1008,1.263,,
612,888,1.21,,
613,699,0.707,,
614,462,-0.202,,
615,197,-1.71,,
616,10,-4.061,,
617,0,-4.63,,
618,0,-5.418,,
619,0,-6.35,,
620,0,-7.001,,
621,0,-7.463,,
622,0,-7.823,,
623,0,-8.138,,
624,0,-8.385,,
625,0,-8.436,,
626,0,-8.539,,
627,0,-8.811,,
628,0,-9.012,,
629,2,-9.15,,
630,187,-7.717,,
631,428,-4.436,,
632,754,-2.342,,
633,884,-1.049,,
634,912,-0.318,,
635,903,0.037,,
636,802,-0.026,,
637,704,-0.451,,
638,493,-1.365,,
639,203,-2.873,,
640,11,-5.301,,
641,0,-5.96,,
642,0,-6.474,,
643,0,-7.567,,
644,0,-8.437,,
645,0,-9.176,,
646,0,-9.684,,
647,0,-9.985,,
648,0,-10.199,,
649,0,-10.372,,
650,0,-10.494,,
651,0,-10.599,,
652,0,-10.768,,
653,4,-10.893,,
654,254,-9.635,,
655,515,-6.459,,
656,734,-4.546,,
657,824,-3.274,,
658,886,-2.347,,
659,727,-2.15,,
660,495,-2.449,,
661,256,-3.141,,
662,67,-4.23,,
663,11,-5.385,,
664,1,-6.682,,
665,0,-7.02,,
666,0,-7.476,,
667,0,-8.3,,
668,0,-9.382,,
669,0,-10.566,,
670,0,-11.359,,
671,0,-11.822,,
672,0,-12.145,,
673,0,-12.536,,
674,0,-13.041,,
675,0,-13.378,,
676,0,-13.671,,
677,8,-13.81,,
678,373,-11.084,,
679,643,-5.538,,
680,872,-0.69,,
681,1035,2.411,,
682,1118,4.113,,
683,1116,4.901,,
684,1025,4.766,,
685,851,3.866,,
686,574,2.386,,
687,232,0.154,,
688,19,-3.172,,
689,0,-4.487,,
690,0,-5.32,,
691,0,-5.532,,
692,0,-5.706,,
693,0,-5.927,,
694,0,-6.092,,
695,0,-6.236,,
696,0,-6.576,,
697,0,-6.889,,
698,0,-6.805,,
699,0,-6.498,,
700,0,-6.103,,
701,3,-5.72,,
702,171,-4.501,,
703,389,-1.805,,
704,686,0.929,,
705,868,2.949,,
706,953,4.128,,
707,990,4.618,,
708,918,4.676,,
709,755,4.297,,
710,471,3.095,,
711,169,0.992,,
712,7,-1.869,,
713,0,-2.76,,
714,0,-3.238,,
715,0,-3.397,,
716,0,-3.718,,
717,0,-4.094,,
718,0,-4.108,,
719,0,-4.002,,
720,0,-4.056,,
721,0,-4.215,,
722,0,-4.298,,
723,0,-4.318,,
724,0,-4.366,,
725,3,-4.453,,
726,182,-3.352,,
727,426,-0.257,,
728,653,2.05,,
729,799,3.402,,
730,827,3.948,,
731,786,3.968,,
732,690,3.561,,
733,557,2.85,,
734,339,1.767,,
735,128,0.214,,
736,11,-2.28,,
737,0,-3.399,,
738,0,-4.386,,
739,0,-5.051,,
740,0,-5.564,,
741,0,-6.054,,
742,0,-6.453,,
743,0,-6.812,,
744,0,-7.105,,
745,0,-7.405,,
746,0,-7.626,,
747,0,-7.846,,
748,0,-8.059,,
749,9,-8.283,,
750,365,-6.888,,
751,634,-3.069,,
752,870,-0.51,,
753,1036,1.311,,
754,1122,2.637,,
755,1119,3.146,,
756,1027,2.982,,
757,854,2.331,,
758,594,1.236,,
759,286,-0.508,,
760,24,-3.574,,
761,0,-4.591,,
762,0,-5.25,,
763,0,-6.101,,
764,0,-6.706,,
765,0,-6.811,,
766,0,-6.774,,
767,0,-6.902,,
768,0,-7.064,,
769,0,-7.305,,
770,0,-7.574,,
771,0,-7.777,,
772,0,-7.979,,
773,11,-8.131,,
774,373,-6.749,,
775,639,-3.079,,
776,869,0.166,,
777,1032,2.171,,
778,1112,3.338,,
779,1092,3.761,,
780,997,3.555,,
781,819,2.766,,
782,528,1.483,,
783,207,-0.304,,
784,15,-3.069,,
785,0,-4.128,,
786,0,-5.009,,
787,0,-5.678,,
788,0,-6.152,,
789,0,-6.258,,
790,0,-6.17,,
791,0,-6.286,,
792,0,-6.676,,
793,0,-7.075,,
794,0,-7.431,,
795,0,-7.47,,
796,0,-7.384,,
797,12,-7.412,,
798,376,-5.902,,
799,640,-1.903,,
800,858,1.75,,
801,1025,4.083,,
802,1109,5.202,,
803,1092,5.809,,
804,1004,6.043,,
805,840,5.828,,
806,603,4.883,,
807,301,2.676,,
808,29,-1.085,,
809,0,-1.712,,
810,0,-2.03,,
811,0,-2.231,,
812,0,-2.435,,
813,0,-2.632,,
814,0,-2.887,,
815,0,-3.089,,
816,0,-3.306,,
817,0,-3.629,,
818,0,-3.97,,
819,0,-3.983,,
820,0,-4.086,,
821,6,-4.055,,
822,236,-2.872,,
823,534,-0.028,,
824,835,3.306,,
825,981,5.067,,
826,1030,5.737,,
827,982,5.727,,
828,880,5.155,,
829,710,4.259,,
830,455,2.967,,
831,181,1.042,,
832,13,-2.07,,
833,0,-3.287,,
834,0,-3.975,,
835,0,-4.446,,
836,0,-4.503,,
837,0,-4.479,,
838,0,-4.656,,
839,0,-4.871,,
840,0,-5.015,,
841,0,-5.279,,
842,0,-5.494,,
843,0,-5.553,,
844,0,-5.619,,
845,8,-5.529,,
846,328,-4.061,,
847,601,-0.652,,
848,813,2.337,,
849,966,4.266,,
850,1049,5.357,,
851,1018,5.599,,
852,929,5.232,,
853,761,4.409,,
854,528,3.121,,
855,248,1.174,,
856,23,-2.14,,
857,0,-3.455,,
858,0,-4.2,,
859,0,-4.741,,
860,0,-4.944,,
861,0,-4.948,,
862,0,-4.83,,
863,0,-4.749,,
864,0,-4.9,,
865,0,-5.064,,
866,0,-5.107,,
867,0,-5.021,,
868,0,-4.945,,
869,11,-4.803,,
870,345,-3.44,,
871,610,-0.059,,
872,835,2.339,,
873,995,3.804,,
874,1075,4.649,,
875,1043,4.883,,
876,951,4.721,,
877,766,4.141,,
878,469,2.959,,
879,190,1.257,,
880,13,-1.477,,
881,0,-2.53,,
882,0,-3.307,,
883,0,-3.894,,
884,0,-4.244,,
885,0,-4.135,,
886,0,-3.944,,
887,0,-4.278,,
888,0,-4.45,,
889,0,-4.266,,
890,0,-4.55,,
891,0,-4.54,,
892,0,-4.194,,
893,1,-4.168,,
894,36,-2.638,,
895,125,-0.453,,
896,400,1.246,,
897,615,2.488,,
898,682,3.007,,
899,700,3.099,,
900,658,3.072,,
901,528,2.677,,
902,201,1.571,,
903,38,0.198,,
904,1,-1.551,,
905,0,-2.017,,
906,0,-2.313,,
907,0,-2.808,,
908,0,-3.335,,
909,0,-3.822,,
910,0,-4.032,,
911,0,-4.286,,
912,0,-4.458,,
913,0,-4.855,,
914,0,-5.334,,
915,0,-5.539,,
916,0,-5.644,,
917,5,-5.719,,
918,233,-4.073,,
919,486,-1.786,,
920,695,-0.75,,
921,722,-0.248,,
922,705,-0.135,,
923,536,-0.606,,
924,469,-1.354,,
925,326,-2.347,,
926,156,-3.418,,
927,43,-4.432,,
928,6,-6.1,,
929,0,-7.324,,
930,0,-7.558,,
931,0,-7.714,,
932,0,-8.081,,
933,0,-8.345,,
934,0,-8.876,,
935,0,-9.67,,
936,0,-10.287,,
937,0,-10.713,,
938,0,-11.325,,
939,0,-12.17,,
940,0,-12.949,,
941,16,-13.636,,
942,383,-10.854,,
943,659,-5.123,,
944,895,-0.939,,
945,1063,1.578,,
946,1150,2.644,,
947,1148,3.058,,
948,1058,3.02,,
949,886,2.572,,
950,646,1.578,,
951,346,-0.337,,
952,48,-3.842,,
953,0,-5.158,,
954,0,-6.039,,
955,0,-6.326,,
956,0,-6.197,,
957,0,-6.111,,
958,0,-6.19,,
959,0,-6.265,,
960,0,-6.252,,
961,0,-6.293,,
962,0,-6.153,,
963,0,-5.726,,
964,0,-5.457,,
965,3,-5.393,,
966,57,-4.47,,
967,113,-2.176,,
968,282,-0.177,,
969,775,1.379,,
970,1079,2.344,,
971,1049,2.47,,
972,839,2.046,,
973,529,1.227,,
974,212,0.106,,
975,179,-1.109,,
976,25,-3.738,,
977,0,-5.009,,
978,0,-5.746,,
979,0,-6.393,,
980,0,-6.911,,
981,0,-7.427,,
982,0,-7.558,,
983,0,-7.489,,
984,0,-7.262,,
985,0,-7.173,,
986,0,-7.42,,
987,0,-7.607,,
988,0,-7.673,,
989,11,-7.617,,
990,294,-5.715,,
991,607,-1.651,,
992,753,1.256,,
993,542,2.533,,
994,447,3.016,,
995,951,4.162,,
996,1015,4.686,,
997,848,4.329,,
998,586,3.33,,
999,302,1.698,,
1000,41,-1.887,,
1001,0,-3.126,,
1002,0,-3.524,,
1003,0,-3.822,,
1004,0,-3.897,,
1005,0,-3.916,,
1006,0,-3.952,,
1007,0,-4.357,,
1008,0,-4.817,,
1009,0,-5.139,,
1010,0,-5.563,,
1011,0,-5.713,,
1012,0,-5.767,,
1013,13,-5.973,,
1014,328,-4.375,,
1015,605,-0.156,,
1016,851,3.333,,
1017,1017,5.096,,
1018,1097,5.885,,
1019,1078,6.259,,
1020,973,6.265,,
1021,822,5.851,,
1022,525,4.803,,
1023,212,3.061,,
1024,31,-0.105,,
1025,0,-1.503,,
1026,0,-2.307,,
1027,0,-2.807,,
1028,0,-2.849,,
1029,0,-2.546,,
1030,0,-2.249,,
1031,0,-2.169,,
1032,0,-2.154,,
1033,0,-2.077,,
1034,0,-2.229,,
1035,0,-2.464,,
1036,0,-2.84,,
1037,3,-2.882,,
1038,52,-1.66,,
1039,162,0.772,,
1040,281,3.057,,
1041,425,4.449,,
1042,542,5.22,,
1043,592,5.456,,
1044,480,5.158,,
1045,255,4.325,,
1046,110,3.311,,
1047,65,2.136,,
1048,11,-0.33,,
1049,0,-1.467,,
1050,0,-2.174,,
1051,0,-2.993,,
1052,0,-3.675,,
1053,0,-4.045,,
1054,0,-4.125,,
1055,0,-4.151,,
1056,0,-4.191,,
1057,0,-4.263,,
1058,0,-4.42,,
1059,0,-4.676,,
1060,0,-4.918,,
1061,11,-5.071,,
1062,187,-3.506,,
1063,291,-0.531,,
1064,555,1.662,,
1065,891,3.049,,
1066,858,3.553,,
1067,693,3.583,,
1068,562,3.389,,
1069,430,2.912,,
1070,280,2.094,,
1071,80,0.723,,
1072,8,-1.514,,
1073,0,-2.618,,
1074,0,-3.04,,
1075,0,-3.599,,
1076,0,-4.175,,
1077,0,-4.37,,
1078,0,-4.479,,
1079,0,-4.387,,
1080,0,-4.393,,
1081,0,-4.456,,
1082,0,-4.963,,
1083,0,-5.439,,
1084,0,-5.279,,
1085,1,-5.277,,
1086,20,-3.92,,
1087,68,-1.814,,
1088,220,-0.399,,
1089,451,0.622,,
1090,595,0.978,,
1091,607,1.072,,
1092,515,0.885,,
1093,354,0.39,,
1094,201,-0.47,,
1095,62,-1.711,,
1096,6,-3.602,,
1097,0,-4.883,,
1098,0,-5.237,,
1099,0,-5.444,,
1100,0,-5.663,,
1101,0,-5.889,,
1102,0,-6.017,,
1103,0,-6.107,,
1104,0,-6.356,,
1105,0,-6.63,,
1106,0,-6.861,,
1107,0,-7.221,,
1108,0,-7.614,,
1109,15,-8.185,,
1110,308,-6.566,,
1111,607,-3.269,,
1112,825,-1.31,,
1113,983,0.177,,
1114,1049,1.048,,
1115,1010,1.511,,
1116,890,1.574,,
1117,679,1.279,,
1118,497,0.723,,
1119,281,-0.371,,
1120,56,-3.15,,
1121,0,-4.97,,
1122,0,-5.503,,
1123,0,-6.38,,
1124,0,-6.869,,
1125,0,-7.082,,
1126,0,-7.357,,
1127,0,-7.429,,
1128,0,-7.404,,
1129,0,-7.451,,
1130,0,-7.568,,
1131,0,-7.932,,
1132,0,-8.341,,
1133,22,-8.452,,
1134,341,-6.178,,
1135,608,-2.172,,
1136,841,0.546,,
1137,1005,2.017,,
1138,998,2.443,,
1139,981,2.528,,
1140,855,2.238,,
1141,576,1.436,,
1142,302,0.272,,
1143,102,-1.148,,
1144,12,-3.167,,
1145,0,-4.545,,
1146,0,-5.056,,
1147,0,-5.396,,
1148,0,-5.78,,
1149,0,-6.275,,
1150,0,-7.031,,
1151,0,-7.86,,
1152,0,-8.626,,
1153,0,-9.104,,
1154,0,-9.389,,
1155,0,-9.559,,
1156,0,-9.545,,
1157,11,-9.056,,
1158,179,-6.859,,
1159,417,-3.526,,
1160,713,-1.036,,
1161,917,0.565,,
1162,942,1.38,,
1163,862,1.555,,
1164,739,1.444,,
1165,516,1.017,,
1166,279,0.252,,
1167,93,-0.862,,
1168,12,-2.853,,
1169,0,-4.317,,
1170,0,-4.879,,
1171,0,-5.21,,
1172,0,-5.633,,
1173,0,-6.216,,
1174,0,-6.683,,
1175,0,-7.099,,
1176,0,-7.438,,
1177,0,-7.65,,
1178,0,-7.72,,
1179,0,-7.844,,
1180,0,-8.006,,
1181,22,-8.171,,
1182,342,-5.582,,
1183,620,-0.904,,
1184,837,1.894,,
