hour_of_year,insolation,temperature,wind,rainfall
317,0,27.249,,
318,9,27.311,,
319,145,27.411,,
320,370,27.542,,
321,576,27.647,,
322,725,27.739,,
323,756,27.837,,
324,768,27.934,,
325,709,28.008,,
326,598,28.067,,
327,409,28.1,,
328,185,28.141,,
329,32,28.168,,
330,0,28.152,,
331,0,28.141,,
332,0,28.115,,
333,0,28.062,,
334,0,27.971,,
335,0,27.875,,
336,0,27.798,,
337,0,27.736,,
338,0,27.681,,
339,0,27.626,,
340,0,27.623,,
341,0,27.604,,
342,9,27.609,,
343,159,27.652,,
344,390,27.713,,
345,596,27.764,,
346,748,27.818,,
347,855,27.859,,
348,863,27.888,,
349,798,27.909,,
350,687,27.929,,
351,491,27.963,,
352,248,27.999,,
353,50,27.996,,
354,0,27.956,,
355,0,27.912,,
356,0,27.853,,
357,0,27.77,,
358,0,27.66,,
359,0,27.559,,
360,0,27.47,,
361,0,27.392,,
362,0,27.342,,
363,0,27.339,,
364,0,27.359,,
365,0,27.384,,
366,15,27.435,,
367,216,27.549,,
368,459,27.733,,
369,664,27.868,,
370,811,27.973,,
371,884,28.053,,
372,891,28.094,,
373,827,28.103,,
374,716,28.107,,
375,519,28.133,,
376,271,28.163,,
377,56,28.158,,
378,0,28.112,,
379,0,28.078,,
380,0,28.017,,
381,0,27.938,,
382,0,27.861,,
383,0,27.787,,
384,0,27.684,,
385,0,27.579,,
386,0,27.513,,
387,0,27.488,,
388,0,27.483,,
389,0,27.487,,
390,8,27.507,,
391,144,27.557,,
392,363,27.653,,
393,565,27.738,,
394,713,27.795,,
395,780,27.837,,
396,788,27.865,,
397,718,27.881,,
398,571,27.906,,
399,370,27.954,,
400,150,28.006,,
401,23,28.026,,
402,0,28.006,,
403,0,27.989,,
404,0,27.952,,
405,0,27.879,,
406,0,27.781,,
407,0,27.683,,
408,0,27.582,,
409,0,27.469,,
410,0,27.374,,
411,0,27.304,,
412,0,27.271,,
413,0,27.262,,
414,6,27.281,,
415,103,27.344,,
416,288,27.438,,
417,480,27.519,,
418,628,27.579,,
419,709,27.63,,
420,724,27.663,,
421,668,27.683,,
422,542,27.719,,
423,362,27.783,,
424,158,27.845,,
425,25,27.874,,
426,0,27.88,,
427,0,27.887,,
428,0,27.849,,
429,0,27.752,,
430,0,27.63,,
431,0,27.511,,
432,0,27.388,,
433,0,27.272,,
434,0,27.173,,
435,0,27.14,,
436,0,27.145,,
437,0,27.183,,
438,9,27.227,,
439,145,27.308,,
440,375,27.451,,
441,585,27.6,,
442,735,27.732,,
443,852,27.826,,
444,862,27.893,,
445,792,27.938,,
446,640,27.968,,
447,444,28.008,,
448,219,28.05,,
449,42,28.064,,
450,0,28.047,,
451,0,28.037,,
452,0,27.994,,
453,0,27.91,,
454,0,27.768,,
455,0,27.637,,
456,0,27.492,,
457,0,27.328,,
458,0,27.182,,
459,0,27.105,,
460,0,27.059,,
461,0,27.028,,
462,15,27.04,,
463,209,27.108,,
464,444,27.231,,
465,650,27.315,,
466,802,27.365,,
467,837,27.397,,
468,845,27.416,,
469,776,27.43,,
470,661,27.436,,
471,470,27.452,,
472,234,27.476,,
473,45,27.485,,
474,0,27.471,,
475,0,27.47,,
476,0,27.447,,
477,0,27.385,,
478,0,27.287,,
479,0,27.171,,
480,0,27.061,,
481,0,26.958,,
482,0,26.857,,
483,0,26.78,,
484,0,26.729,,
485,0,26.702,,
486,17,26.705,,
487,232,26.739,,
488,472,26.832,,
489,676,26.912,,
490,822,26.953,,
491,886,26.975,,
492,891,27,,
493,821,27.021,,
494,719,27.057,,
495,523,27.124,,
496,278,27.202,,
497,60,27.252,,
498,0,27.275,,
499,0,27.294,,
500,0,27.294,,
501,0,27.251,,
502,0,27.177,,
503,0,27.094,,
504,0,27.02,,
505,0,26.956,,
506,0,26.88,,
507,0,26.826,,
508,0,26.791,,
509,0,26.793,,
510,19,26.811,,
511,247,26.865,,
512,484,26.973,,
513,689,27.089,,
514,838,27.186,,
515,930,27.277,,
516,936,27.363,,
517,868,27.451,,
518,733,27.559,,
519,532,27.679,,
520,284,27.787,,
521,62,27.855,,
522,0,27.88,,
523,0,27.889,,
524,0,27.857,,
525,0,27.781,,
526,0,27.679,,
527,0,27.574,,
528,0,27.472,,
529,0,27.356,,
530,0,27.261,,
531,0,27.19,,
532,0,27.15,,
533,0,27.14,,
534,10,27.145,,
535,154,27.184,,
536,389,27.242,,
537,641,27.297,,
538,839,27.329,,
539,895,27.344,,
540,899,27.369,,
541,828,27.391,,
542,698,27.411,,
543,504,27.454,,
544,265,27.499,,
545,58,27.527,,
546,0,27.509,,
547,0,27.479,,
548,0,27.403,,
549,0,27.307,,
550,0,27.197,,
551,0,27.11,,
552,0,27.056,,
553,0,27.031,,
554,0,27.036,,
555,0,27.076,,
556,0,27.129,,
557,0,27.173,,
558,19,27.199,,
559,249,27.219,,
560,492,27.242,,
561,698,27.252,,
562,848,27.255,,
563,936,27.257,,
564,945,27.257,,
565,881,27.261,,
566,736,27.279,,
567,540,27.33,,
568,296,27.364,,
569,68,27.377,,
570,0,27.363,,
571,0,27.348,,
572,0,27.286,,
573,0,27.158,,
574,0,27.011,,
575,0,26.852,,
576,0,26.7,,
577,0,26.561,,
578,0,26.49,,
579,0,26.455,,
580,0,26.468,,
581,0,26.512,,
582,21,26.587,,
583,258,26.689,,
584,498,26.805,,
585,701,26.896,,
586,850,26.958,,
587,929,27.004,,
588,939,27.039,,
589,876,27.082,,
590,728,27.12,,
591,535,27.149,,
592,292,27.183,,
593,66,27.194,,
594,0,27.185,,
595,0,27.176,,
596,0,27.135,,
597,0,27.058,,
598,0,26.955,,
599,0,26.845,,
600,0,26.734,,
601,0,26.61,,
602,0,26.517,,
603,0,26.483,,
604,0,26.488,,
605,0,26.503,,
606,22,26.535,,
607,265,26.59,,
608,496,26.676,,
609,697,26.745,,
610,844,26.787,,
611,920,26.808,,
612,927,26.831,,
613,861,26.856,,
614,730,26.886,,
615,537,26.919,,
616,301,26.952,,
617,71,26.963,,
618,0,26.942,,
619,0,26.913,,
620,0,26.846,,
621,0,26.747,,
622,0,26.638,,
623,0,26.529,,
624,0,26.419,,
625,0,26.301,,
626,0,26.204,,
627,0,26.159,,
628,0,26.182,,
629,0,26.271,,
630,27,26.37,,
631,293,26.47,,
632,531,26.576,,
633,734,26.672,,
634,881,26.734,,
635,959,26.809,,
636,968,26.877,,
637,902,26.924,,
638,764,26.957,,
639,569,27.001,,
640,322,27.055,,
641,80,27.086,,
642,0,27.09,,
643,0,27.082,,
644,0,27.041,,
645,0,26.959,,
646,0,26.863,,
647,0,26.757,,
648,0,26.648,,
649,0,26.553,,
650,0,26.505,,
651,0,26.504,,
652,0,26.542,,
653,0,26.594,,
654,23,26.655,,
655,269,26.763,,
656,510,26.897,,
657,712,27.002,,
658,859,27.061,,
659,942,27.091,,
660,951,27.119,,
661,888,27.146,,
662,754,27.196,,
663,558,27.284,,
664,312,27.379,,
665,75,27.447,,
666,0,27.47,,
667,0,27.493,,
668,0,27.485,,
669,0,27.443,,
670,0,27.363,,
671,0,27.262,,
672,0,27.168,,
673,0,27.095,,
674,0,27.038,,
675,0,27.034,,
676,0,27.054,,
677,0,27.097,,
678,29,27.174,,
679,299,27.302,,
680,536,27.43,,
681,732,27.539,,
682,873,27.583,,
683,937,27.602,,
684,941,27.618,,
685,873,27.61,,
686,738,27.61,,
687,544,27.645,,
688,303,27.705,,
689,72,27.74,,
690,0,27.745,,
691,0,27.747,,
692,0,27.726,,
693,0,27.656,,
694,0,27.552,,
695,0,27.453,,
696,0,27.354,,
697,0,27.24,,
698,0,27.165,,
699,0,27.127,,
700,0,27.157,,
701,0,27.233,,
702,21,27.337,,
703,243,27.472,,
704,475,27.589,,
705,669,27.661,,
706,801,27.646,,
707,822,27.623,,
708,838,27.62,,
709,785,27.636,,
710,642,27.675,,
711,449,27.744,,
712,217,27.846,,
713,39,27.908,,
714,0,27.941,,
715,0,27.962,,
716,0,27.951,,
717,0,27.87,,
718,0,27.759,,
719,0,27.628,,
720,0,27.477,,
721,0,27.363,,
722,0,27.312,,
723,0,27.272,,
724,0,27.217,,
725,0,27.129,,
726,9,27.041,,
727,105,27.021,,
728,235,27.088,,
729,482,27.17,,
730,666,27.188,,
731,752,27.209,,
732,782,27.262,,
733,737,27.328,,
734,610,27.406,,
735,429,27.53,,
736,208,27.677,,
737,36,27.812,,
738,0,27.914,,
739,0,28.003,,
740,0,28.043,,
741,0,28.029,,
742,0,27.953,,
743,0,27.861,,
744,0,27.748,,
745,0,27.634,,
746,0,27.527,,
747,0,27.445,,
748,0,27.413,,
749,0,27.416,,
750,10,27.42,,
751,147,27.431,,
752,364,27.491,,
753,567,27.575,,
754,710,27.628,,
755,801,27.651,,
756,812,27.67,,
757,754,27.697,,
758,619,27.731,,
759,435,27.781,,
760,216,27.831,,
761,41,27.873,,
762,0,27.906,,
763,0,27.939,,
764,0,27.941,,
765,0,27.889,,
766,0,27.784,,
767,0,27.667,,
768,0,27.559,,
769,0,27.448,,
770,0,27.377,,
771,0,27.368,,
772,0,27.382,,
773,0,27.422,,
774,14,27.482,,
775,202,27.554,,
776,434,27.657,,
777,633,27.753,,
778,779,27.842,,
779,821,27.916,,
780,831,27.98,,
781,765,28.037,,
782,617,28.081,,
783,418,28.118,,
784,189,28.145,,
785,31,28.147,,
786,0,28.116,,
787,0,28.081,,
788,0,28.046,,
789,0,28.004,,
790,0,27.943,,
791,0,27.861,,
792,0,27.779,,
793,0,27.712,,
794,0,27.641,,
795,0,27.597,,
796,0,27.583,,
797,0,27.612,,
798,7,27.666,,
799,111,27.752,,
800,310,27.855,,
801,513,27.966,,
802,666,28.052,,
803,726,28.121,,
804,732,28.183,,
805,662,28.252,,
806,598,28.305,,
807,402,28.345,,
808,179,28.394,,
809,24,28.405,,
810,0,28.388,,
811,0,28.363,,
812,0,28.324,,
813,0,28.25,,
814,0,28.154,,
815,0,28.046,,
816,0,27.94,,
817,0,27.833,,
818,0,27.753,,
819,0,27.741,,
820,0,27.747,,
821,0,27.778,,
822,9,27.839,,
823,138,27.932,,
824,342,28.036,,
825,528,28.119,,
826,668,28.174,,
827,727,28.217,,
828,716,28.249,,
829,648,28.268,,
830,500,28.278,,
831,324,28.292,,
832,137,28.308,,
833,22,28.307,,
834,0,28.279,,
835,0,28.265,,
836,0,28.233,,
837,0,28.177,,
838,0,28.093,,
839,0,27.998,,
840,0,27.909,,
841,0,27.822,,
842,0,27.782,,
843,0,27.776,,
844,0,27.802,,
845,0,27.86,,
846,7,27.904,,
847,101,27.972,,
848,268,28.042,,
849,449,28.112,,
850,595,28.172,,
851,690,28.208,,
852,723,28.241,,
853,656,28.272,,
854,497,28.293,,
855,282,28.307,,
856,87,28.317,,
857,10,28.308,,
858,0,28.28,,
859,0,28.246,,
860,0,28.224,,
861,0,28.175,,
862,0,28.114,,
863,0,28.048,,
864,0,27.983,,
865,0,27.914,,
866,0,27.853,,
867,0,27.79,,
868,0,27.745,,
869,0,27.738,,
870,5,27.757,,
871,70,27.829,,
872,197,27.901,,
873,333,27.947,,
874,448,27.962,,
875,565,27.948,,
876,582,27.915,,
877,540,27.873,,
878,452,27.839,,
879,305,27.835,,
880,127,27.842,,
881,15,27.843,,
882,0,27.835,,
883,0,27.837,,
884,0,27.833,,
885,0,27.797,,
886,0,27.737,,
887,0,27.661,,
888,0,27.573,,
889,0,27.504,,
890,0,27.47,,
891,0,27.458,,
892,0,27.474,,
893,0,27.504,,
894,4,27.543,,
895,56,27.586,,
896,167,27.639,,
897,316,27.67,,
898,457,27.663,,
899,563,27.617,,
900,625,27.541,,
901,621,27.475,,
902,563,27.425,,
903,416,27.417,,
904,200,27.428,,
905,28,27.432,,
906,0,27.425,,
907,0,27.419,,
908,0,27.411,,
909,0,27.377,,
910,0,27.305,,
911,0,27.209,,
912,0,27.125,,
913,0,27.041,,
914,0,26.973,,
915,0,26.946,,
916,0,26.953,,
917,0,27.003,,
918,13,27.073,,
919,188,27.146,,
920,422,27.219,,
921,627,27.281,,
922,774,27.308,,
923,832,27.297,,
924,839,27.267,,
925,775,27.244,,
926,636,27.225,,
927,441,27.223,,
928,213,27.24,,
929,32,27.244,,
930,0,27.225,,
931,0,27.214,,
932,0,27.202,,
933,0,27.195,,
934,0,27.181,,
935,0,27.163,,
936,0,27.127,,
937,0,27.079,,
938,0,27.048,,
939,0,27.046,,
940,0,27.063,,
941,0,27.096,,
942,12,27.149,,
943,175,27.212,,
944,399,27.271,,
945,603,27.315,,
946,753,27.334,,
947,825,27.331,,
948,833,27.316,,
949,763,27.299,,
950,609,27.312,,
951,376,27.371,,
952,165,27.464,,
953,24,27.528,,
954,0,27.579,,
955,0,27.635,,
956,0,27.675,,
957,0,27.671,,
958,0,27.629,,
959,0,27.579,,
960,0,27.525,,
961,0,27.468,,
962,0,27.417,,
963,0,27.355,,
964,0,27.344,,
965,0,27.401,,
966,12,27.461,,
967,170,27.533,,
968,387,27.621,,
969,585,27.705,,
970,736,27.77,,
971,814,27.822,,
972,816,27.872,,
973,742,27.913,,
974,590,27.949,,
975,394,27.985,,
976,177,28.022,,
977,24,28.039,,
978,0,28.035,,
979,0,28.007,,
980,0,27.976,,
981,0,27.933,,
982,0,27.877,,
983,0,27.808,,
984,0,27.733,,
985,0,27.645,,
986,0,27.584,,
987,0,27.552,,
988,0,27.58,,
989,0,27.646,,
990,10,27.715,,
991,150,27.793,,
992,372,27.882,,
993,579,27.971,,
994,736,28.043,,
995,860,28.091,,
996,877,28.123,,
997,817,28.146,,
998,687,28.159,,
999,500,28.179,,
1000,268,28.201,,
1001,52,28.211,,
1002,0,28.196,,
1003,0,28.179,,
1004,0,28.145,,
1005,0,28.096,,
1006,0,28.02,,
1007,0,27.934,,
1008,0,27.844,,
1009,0,27.749,,
1010,0,27.692,,
1011,0,27.656,,
1012,0,27.64,,
1013,0,27.624,,
1014,13,27.626,,
1015,179,27.655,,
1016,404,27.715,,
1017,605,27.801,,
1018,752,27.869,,
1019,836,27.902,,
1020,843,27.933,,
1021,779,27.972,,
1022,651,28.006,,
1023,461,28.046,,
1024,234,28.086,,
1025,40,28.093,,
1026,0,28.085,,
1027,0,28.07,,
1028,0,28.044,,
1029,0,28.01,,
1030,0,27.979,,
1031,0,27.921,,
1032,0,27.849,,
1033,0,27.783,,
1034,0,27.706,,
1035,0,27.637,,
1036,0,27.633,,
1037,0,27.666,,
1038,13,27.684,,
1039,177,27.698,,
1040,401,27.754,,
1041,601,27.829,,
1042,748,27.897,,
1043,816,27.949,,
1044,821,27.996,,
1045,754,28.048,,
1046,629,28.098,,
1047,439,28.148,,
1048,214,28.192,,
1049,34,28.208,,
1050,0,28.204,,
1051,0,28.201,,
1052,0,28.18,,
1053,0,28.121,,
1054,0,28.046,,
1055,0,27.963,,
1056,0,27.859,,
1057,0,27.761,,
1058,0,27.682,,
1059,0,27.641,,
1060,0,27.632,,
1061,0,27.598,,
1062,10,27.561,,
1063,144,27.561,,
1064,350,27.616,,
1065,546,27.688,,
1066,696,27.752,,
1067,804,27.791,,
1068,813,27.798,,
1069,750,27.818,,
1070,627,27.849,,
1071,447,27.901,,
1072,230,27.943,,
1073,39,27.955,,
1074,0,27.921,,
1075,0,27.895,,
1076,0,27.879,,
1077,0,27.842,,
1078,0,27.781,,
1079,0,27.718,,
1080,0,27.647,,
1081,0,27.586,,
1082,0,27.526,,
1083,0,27.481,,
1084,0,27.458,,
1085,0,27.465,,
1086,19,27.486,,
1087,217,27.532,,
1088,445,27.612,,
1089,644,27.673,,
1090,790,27.703,,
1091,874,27.724,,
1092,883,27.75,,
1093,819,27.782,,
1094,687,27.824,,
1095,491,27.885,,
1096,252,27.938,,
1097,45,27.971,,
1098,0,27.971,,
1099,0,27.973,,
1100,0,27.96,,
1101,0,27.903,,
1102,0,27.824,,
1103,0,27.721,,
1104,0,27.615,,
1105,0,27.526,,
1106,0,27.45,,
1107,0,27.384,,
1108,0,27.354,,
1109,0,27.341,,
1110,20,27.354,,
1111,218,27.386,,
1112,450,27.429,,
1113,653,27.475,,
1114,804,27.486,,
1115,888,27.471,,
1116,900,27.457,,
1117,839,27.441,,
1118,705,27.44,,
1119,516,27.467,,
1120,277,27.515,,
1121,53,27.538,,
1122,0,27.524,,
1123,0,27.522,,
1124,0,27.519,,
1125,0,27.473,,
1126,0,27.387,,
1127,0,27.28,,
1128,0,27.175,,
1129,0,27.077,,
1130,0,27.01,,
1131,0,26.976,,
1132,0,26.978,,
1133,0,27.002,,
1134,15,27.048,,
1135,178,27.106,,
1136,426,27.178,,
1137,641,27.235,,
1138,807,27.259,,
1139,901,27.257,,
1140,919,27.246,,
1141,862,27.23,,
1142,735,27.197,,
1143,548,27.166,,
1144,313,27.137,,
1145,71,27.097,,
1146,0,27.032,,
1147,0,26.949,,
1148,0,26.869,,
1149,0,26.773,,
1150,0,26.654,,
1151,0,26.528,,
1152,0,26.409,,
1153,0,26.299,,
1154,0,26.232,,
1155,0,26.212,,
1156,0,26.201,,
1157,0,26.191,,
1158,19,26.202,,
1159,215,26.258,,
1160,462,26.343,,
1161,678,26.432,,
1162,832,26.491,,
1163,921,26.519,,
1164,936,26.545,,
1165,875,26.596,,
1166,737,26.674,,
1167,542,26.758,,
1168,302,26.838,,
1169,66,26.893,,
1170,0,26.914,,
1171,0,26.936,,
1172,0,26.967,,
1173,0,27.003,,
1174,0,27.007,,
1175,0,26.991,,
1176,0,26.947,,
1177,0,26.899,,
1178,0,26.876,,
1179,0,26.873,,
1180,0,26.917,,
1181,0,26.999,,
1182,15,27.101,,
1183,182,27.222,,
1184,404,27.349,,
1185,606,27.477,,
1186,760,27.566,,
1187,846,27.618,,
1188,857,27.655,,
1189,793,27.701,,
1190,640,27.762,,
1191,449,27.835,,
1192,225,27.922,,
1193,38,28,,
1194,0,28.067,,
1195,0,28.137,,
1196,0,28.185,,
1197,0,28.195,,
1198,0,28.18,,
1199,0,28.149,,
1200,0,28.087,,
1201,0,28.026,,
1202,0,27.975,,
1203,0,27.931,,
1204,0,27.931,,
1205,0,27.948,,
1206,13,27.977,,
1207,174,28.02,,
1208,400,28.071,,
1209,604,28.111,,
1210,758,28.12,,
1211,864,28.111,,
1212,878,28.089,,
1213,816,28.073,,
1214,687,28.051,,
1215,494,28.035,,
1216,260,28.031,,
1217,47,28.023,,
1218,0,27.992,,
1219,0,27.959,,
1220,0,27.93,,
1221,0,27.886,,
1222,0,27.841,,
1223,0,27.79,,
1224,0,27.718,,
1225,0,27.666,,
1226,0,27.674,,
1227,0,27.693,,
1228,0,27.724,,
1229,0,27.795,,
1230,15,27.861,,
1231,192,27.945,,
1232,429,28.022,,
1233,640,28.069,,
1234,796,28.083,,
1235,886,28.065,,
1236,898,28.047,,
1237,835,28.02,,
1238,716,28.021,,
1239,525,28.043,,
1240,293,28.045,,
1241,64,28.005,,
1242,0,27.924,,
1243,0,27.846,,
1244,0,27.783,,
1245,0,27.688,,
1246,0,27.568,,
1247,0,27.461,,
1248,0,27.332,,
1249,0,27.194,,
1250,0,27.081,,
1251,0,27.011,,
1252,0,26.991,,
1253,0,27.002,,
1254,23,27.067,,
1255,238,27.199,,
1256,480,27.401,,
1257,687,27.607,,
1258,838,27.75,,
1259,905,27.827,,
1260,915,27.886,,
1261,850,27.943,,
1262,700,27.999,,
1263,506,28.049,,
1264,275,28.096,,
1265,57,28.113,,
1266,0,28.099,,
1267,0,28.118,,
1268,0,28.118,,
1269,0,28.06,,
1270,0,27.952,,
1271,0,27.816,,
1272,0,27.666,,
1273,0,27.517,,
1274,0,27.384,,
1275,0,27.305,,
1276,0,27.28,,
1277,0,27.303,,
1278,18,27.35,,
1279,207,27.42,,
1280,444,27.525,,
1281,654,27.627,,
1282,812,27.682,,
1283,896,27.715,,
1284,912,27.724,,
1285,854,27.74,,
1286,732,27.779,,
1287,539,27.85,,
1288,301,27.923,,
1289,66,27.959,,
1290,0,27.947,,
1291,0,27.922,,
1292,0,27.884,,
1293,0,27.825,,
1294,0,27.731,,
1295,0,27.6,,
1296,0,27.465,,
1297,0,27.363,,
1298,0,27.313,,
1299,0,27.268,,
