sl,model,panel_manufacturer,rating,tech_type,Voc,Isc,Vmp,Imp,NOCT,T_Pmax,T_Voc,T_Isc,dimensions,weight,cell_count,price,efficiency,life,Remarks
105,WSMD-365,Waaree,365,MONOCRYSTALLINE PERC,47.66,9.72,39.1,9.34,43,-0.3739,-0.2627,0.039,2007x1003.5x40,23.5,144,11680,18.37,25,ARKA SERIES
106,WSMD-370,Waaree,370,MONOCRYSTALLINE PERC,47.99,9.79,39.39,9.39,43,-0.3739,-0.2627,0.039,2007x1003.5x40,23.5,144,11840,18.62,25,ARKA SERIES
107,WSMD-375,Waaree,375,MONOCRYSTALLINE PERC,48.32,9.86,39.68,9.46,43,-0.3739,-0.2627,0.039,2007x1003.5x40,23.5,144,12000,18.87,25,ARKA SERIES
108,WSMD-380,Waaree,380,MONOCRYSTALLINE PERC,48.65,9.93,39.97,9.51,43,-0.3739,-0.2627,0.039,2007x1003.5x40,23.5,144,12160,19.12,25,ARKA SERIES
109,WSMD-385,Waaree,385,MONOCRYSTALLINE PERC,48.98,10,40.26,9.57,43,-0.3739,-0.2627,0.039,2007x1003.5x40,23.5,144,12320,19.38,25,ARKA SERIES
110,WSMD-380,Waaree,380,MONOCRYSTALLINE PERC,48.14,10.16,39.07,9.75,43,-0.37,-0.27,0.05,2007x1003.5x40,23.5,144,12160,18.87,25,ARKA SERIES
111,WSMD-385,Waaree,385,MONOCRYSTALLINE PERC,48.45,10.22,39.32,9.82,43,-0.37,-0.27,0.05,2007x1003.5x40,23.5,144,12320,19.12,25,ARKA SERIES
112,WSMD-390,Waaree,390,MONOCRYSTALLINE PERC,48.76,10.29,39.56,9.88,43,-0.37,-0.27,0.05,2007x1003.5x40,23.5,144,12480,19.36,25,ARKA SERIES
113,WSMD-395,Waaree,395,MONOCRYSTALLINE PERC,49.07,10.35,39.81,9.95,43,-0.37,-0.27,0.05,2007x1003.5x40,23.5,144,12640,19.61,25,ARKA SERIES
114,WSMD-400,Waaree,400,MONOCRYSTALLINE PERC,49.39,10.42,40.07,10.02,43,-0.37,-0.27,0.05,2007x1003.5x40,23.5,144,12800,19.86,25,ARKA SERIES
115,Bi-11-350,Waaree,455,MONOCRYSTALLINE BIFACIAL,46.77,9.58,38.53,9.09,46,-0.37,-0.27,0.05,2002x998.5x6.5,28,72,15925,22.76,25,AHNAY SERIES
116,Bi-11-355,Waaree,461.5,MONOCRYSTALLINE BIFACIAL,47.09,9.64,38.8,9.16,46,-0.37,-0.27,0.05,2002x998.5x6.5,28,72,16152.5,23.09,25,AHNAY SERIES
117,Bi-11-360,Waaree,468,MONOCRYSTALLINE BIFACIAL,47.41,9.71,39.07,9.23,46,-0.37,-0.27,0.05,2002x998.5x6.5,28,72,16380,23.41,25,AHNAY SERIES
118,Bi-11-365,Waaree,474.5,MONOCRYSTALLINE BIFACIAL,47.72,9.77,39.34,9.3,46,-0.37,-0.27,0.05,2002x998.5x6.5,28,72,16607.5,23.74,25,AHNAY SERIES
119,Bi-11-370,Waaree,481,MONOCRYSTALLINE BIFACIAL,48.04,9.84,39.6,9.37,46,-0.37,-0.27,0.05,2002x998.5x6.5,28,72,16835,24.06,25,AHNAY SERIES
120,Bi-11-375,Waaree,487.5,MONOCRYSTALLINE BIFACIAL,48.35,9.9,39.85,9.43,46,-0.37,-0.27,0.05,2002x998.5x6.5,28,72,17062.5,24.39,25,AHNAY SERIES
121,Bi-11-380,Waaree,494,MONOCRYSTALLINE BIFACIAL,48.67,9.97,40.11,9.5,46,-0.37,-0.27,0.05,2002x998.5x6.5,28,72,17290,24.71,25,AHNAY SERIES
122,Bi-11-385,Waaree,500.5,MONOCRYSTALLINE BIFACIAL,48.98,10.03,40.36,9.56,46,-0.37,-0.27,0.05,2002x998.5x6.5,28,72,17517.5,25.04,25,AHNAY SERIES
